i,Q,rhs,ok
0,0.09726111101161017,0.09726111101161018,False
1,0.1889739431709508,0.18897394317095081,False
2,0.17055942511080252,0.17055942511080252,True
3,0.19657742056374714,0.19657742056374716,False
4,0.21933476143042932,0.21933476143042935,False
5,0.20463245010700756,0.20463245010700762,False
6,0.23277301963523242,0.23277301963523242,True
7,0.19360941568825096,0.193609415688251,False
8,0.16426158800011134,0.1642615880001114,False
9,0.17655930385151564,0.17655930385151566,False
10,0.08972804004762494,0.08972804004762497,False
11,0.05457718347368754,0.05457718347368755,False
12,0.0017051206533440478,0.0017051206533440792,False
13,0.150880785076358,0.15088078507635802,False
14,0.09067322021768327,0.09067322021768329,False
15,0.06192070427099807,0.06192070427099809,False
16,0.15130196928968798,0.15130196928968798,True
17,0.11808734506823364,0.11808734506823367,False
18,0.015575260582294819,0.015575260582294845,False
19,0.0629901771325275,0.06299017713252754,False
20,0.12441335738791204,0.12441335738791208,False
21,0.1400449236569452,0.14004492365694524,False
22,0.18824104273294615,0.18824104273294615,True
23,0.08158030257556141,0.08158030257556143,False
24,0.09937479587053007,0.09937479587053007,True
25,0.013687374801780587,0.013687374801780625,False
26,0.05955269547565902,0.05955269547565905,False
27,0.12451315721469741,0.12451315721469743,False
28,0.2104747017051823,0.2104747017051823,True
29,0.0291474828805471,0.02914748288054714,False
30,0.144927213891133,0.144927213891133,True
31,0.3630312170263537,0.3630312170263537,True
32,0.16832351312242103,0.16832351312242105,False
33,0.3968725215757649,0.3968725215757649,True
34,0.13336108709518027,0.1333610870951803,False
35,0.21509756536547384,0.21509756536547386,False
36,0.19531329421039853,0.19531329421039853,True
37,0.08239522641537518,0.08239522641537518,True
38,0.12711660167969416,0.12711660167969419,False
39,0.12187873210019272,0.12187873210019275,False
40,0.1296781423838556,0.1296781423838556,True
41,0.1379198740191749,0.13791987401917494,False
42,0.05047453889553695,0.050474538895536984,False
43,0.029074812079616798,0.029074812079616853,False
44,0.19146586439386007,0.19146586439386007,True
45,0.05550155387703474,0.055501553877034766,False
46,0.1279067813833143,0.1279067813833143,True
47,0.13444434252622436,0.1344443425262244,False
48,0.14495115413257817,0.14495115413257817,True
49,0.2567935638585345,0.2567935638585345,True
50,0.13165889914041196,0.13165889914041198,False
51,0.1529586460368578,0.15295864603685783,False
52,0.13411887343120282,0.13411887343120285,False
53,0.0650466740187743,0.06504667401877434,False
54,0.16052978754204106,0.16052978754204109,False
55,0.20202709784008244,0.2020270978400825,False
56,0.07606077031724257,0.07606077031724258,False
57,0.10647520559166793,0.10647520559166797,False
58,0.06625882291093069,0.06625882291093071,False
59,0.14869551611081583,0.14869551611081586,False
60,0.09276802314309655,0.09276802314309657,False
61,0.08862133905947507,0.0886213390594751,False
62,0.0801082143002892,0.08010821430028923,False
63,0.07209528140306572,0.07209528140306573,False
