gamma,R,amp,Q
4.0,2.0,0.0,0.02821833378396083
4.0,2.0,0.05,0.015460116789041885
4.0,2.0,0.1,0.0027018997941229456
4.0,2.0,0.2,-0.022814534195714938
4.0,2.0,0.3,-0.048330968185552804
4.0,4.0,0.0,0.014105842747359246
4.0,4.0,0.05,0.007241570045087487
4.0,4.0,0.1,0.00037729734281572716
4.0,4.0,0.2,-0.013351248061727793
4.0,4.0,0.3,-0.027079793466271308
4.0,8.0,0.0,0.007052507574273937
4.0,8.0,0.05,0.00355055791203213
4.0,8.0,0.1,4.860824979032365e-05
4.0,8.0,0.2,-0.006955291074693289
4.0,8.0,0.3,-0.013959190399176901
4.0,12.0,0.0,0.004701620680271167
4.0,12.0,0.05,0.0023580528547728057
4.0,12.0,0.1,1.4485029274445059e-05
4.0,12.0,0.2,-0.004672650621722276
4.0,12.0,0.3,-0.009359786272718997
4.0,16.0,0.0,0.003526202116071125
4.0,16.0,0.05,0.001766162643711863
4.0,16.0,0.1,6.123171352600863e-06
4.0,16.0,0.2,-0.0035139557733659234
4.0,16.0,0.3,-0.007034034718084447
4.0,24.0,0.0,0.00235079514589222
4.0,24.0,0.05,0.0011763060144991853
4.0,24.0,0.1,1.8168831061512202e-06
4.0,24.0,0.2,-0.0023471613796799172
4.0,24.0,0.3,-0.004696139642465985
4.0,32.0,0.0,0.0017632769821829466
4.0,32.0,0.05,0.000882021187700621
4.0,32.0,0.1,7.653932182955155e-07
4.0,32.0,0.2,-0.0017617461957463551
4.0,32.0,0.3,-0.0035242577847110065
6.0,2.0,0.0,0.05076468330047651
6.0,2.0,0.05,0.03800646630555756
6.0,2.0,0.1,0.025248249310638626
6.0,2.0,0.2,-0.0002681846791992562
6.0,2.0,0.3,-0.025784618669037133
6.0,4.0,0.0,0.02538698076829756
6.0,4.0,0.05,0.018522708066025795
6.0,4.0,0.1,0.011658435363754036
6.0,4.0,0.2,-0.002070110040789483
6.0,4.0,0.3,-0.015798655445332998
6.0,8.0,0.0,0.012694071721844731
6.0,8.0,0.05,0.009192122059602922
6.0,8.0,0.1,0.005690172397361117
6.0,8.0,0.2,-0.0013137269271224963
6.0,8.0,0.3,-0.008317626251606109
6.0,12.0,0.0,0.008462786293701464
