gamma,R,Q0,Qb_unit,amp_threshold
4.0,2.0,0.02821833378396083,-0.2551643398983788,0.11058886126172256
4.0,4.0,0.014105842747359246,-0.13728545404543518,0.10274826889300931
4.0,8.0,0.007052507574273937,-0.07003899324483612,0.10069401696881057
4.0,12.0,0.004701620680271167,-0.04687135650996722,0.10030903797869313
4.0,16.0,0.003526202116071125,-0.03520078944718524,0.10017394983035217
4.0,24.0,0.00235079514589222,-0.023489782627860688,0.10007734780414682
4.0,32.0,0.0017632769821829466,-0.01762511588964651,0.10004342628003628
6.0,2.0,0.05076468330047651,-0.2551643398983788,0.19894897273143242
6.0,4.0,0.02538698076829756,-0.1372854540454352,0.18492112616603673
6.0,8.0,0.012694071721844731,-0.07003899324483613,0.18124292103214443
6.0,12.0,0.008462786293701464,-0.04687135650996722,0.18055347495440735
6.0,16.0,0.0063471085733970275,-0.035200789447185236,0.18031154053860465
6.0,24.0,0.004231414896738851,-0.02348978262786068,0.18013852932466343
6.0,32.0,0.0031738916769794372,-0.017625115889646506,0.18007777633075714
8.0,2.0,0.07050649286976367,-0.25516433989837883,0.276317971773969
8.0,4.0,0.0352596971534752,-0.13728545404543518,0.256834909412951
8.0,8.0,0.017630655471625675,-0.07003899324483613,0.25172628352886206
8.0,12.0,0.011753869947294058,-0.0468713565099672,0.250768717239805
8.0,16.0,0.00881542861499883,-0.03520078944718524,0.2504326963526023
8.0,24.0,0.005876965146625765,-0.02348978262786068,0.25019240236200546
8.0,32.0,0.0044081828898826616,-0.01762511588964651,0.2501080229760164
12.0,2.0,0.09763666015786339,-0.2551643398983788,0.3826422618330914
12.0,4.0,0.04882265655097949,-0.13728545404543518,0.35562876555604667
12.0,8.0,0.02441186903807019,-0.07003899324483612,0.3485468295172853
12.0,12.0,0.016274646118163143,-0.04687135650996721,0.347219439119547
12.0,16.0,0.01220600211290239,-0.03520078944718524,0.34675364685261106
12.0,24.0,0.00813734347712453,-0.02348978262786068,0.3464205525458128
12.0,32.0,0.006103640845584144,-0.01762511588964651,0.3463035865295839
16.0,2.0,0.11283185475574052,-0.2551643398983788,0.4421928816568832
16.0,4.0,0.056418200734627014,-0.13728545404543518,0.4109554149557256
16.0,8.0,0.028209384478746918,-0.07003899324483612,0.4027668470352657
16.0,12.0,0.018806291392948087,-0.04687135650996722,0.4012320699305752
16.0,16.0,0.014104727751484974,-0.03520078944718524,0.400693506395574
16.0,24.0,0.009403156669499818,-0.02348978262786068,0.40030837315399226
16.0,32.0,0.007053097859640014,-0.01762511588964651,0.4001731338279145
