x,K_baseline,K_windowed
-5.0,3.726653172079e-06,1.433328143107e-07
-4.99,3.917526884783e-06,1.512552802801e-07
-4.98,4.117765072160e-06,1.596008229392e-07
-4.97,4.327805315445e-06,1.683911970182e-07
-4.96,4.548104523683e-06,1.776492298795e-07
-4.95,4.779139732205e-06,1.873988719618e-07
-4.94,5.021408931469e-06,1.976652494713e-07
-4.93,5.275431927309e-06,2.084747194144e-07
-4.92,5.541751233647e-06,2.198549270680e-07
-4.91,5.820932998782e-06,2.318348659907e-07
-4.9,6.113567966371e-06,2.444449406786e-07
-4.89,6.420272472267e-06,2.577170319751e-07
-4.88,6.741689478401e-06,2.716845653492e-07
-4.87,7.078489644954e-06,2.863825821585e-07
-4.86,7.431372442054e-06,3.018478140203e-07
-4.85,7.801067302311e-06,3.181187604164e-07
-4.84,8.188334815518e-06,3.352357696645e-07
-4.83,8.593967966883e-06,3.532411233916e-07
-4.82,9.018793420193e-06,3.721791246510e-07
-4.81,9.463672847366e-06,3.920961898304e-07
-4.8,9.929504305851e-06,4.130409445030e-07
-4.79,1.041722366541e-05,4.350643233787e-07
-4.78,1.092780608584e-05,4.582196745209e-07
-4.77,1.146226754723e-05,4.825628679964e-07
-4.76,1.202166643437e-05,5.081524091357e-07
-4.75,1.260710517705e-05,5.350495565856e-07
-4.74,1.321973194793e-05,5.633184453428e-07
-4.73,1.386074241973e-05,5.930262149639e-07
-4.72,1.453138158363e-05,6.242431431555e-07
-4.71,1.523294563062e-05,6.570427849527e-07
-4.7,1.596678389780e-05,6.915021177048e-07
-4.69,1.673430088155e-05,7.277016920932e-07
-4.68,1.753695831946e-05,7.657257894134e-07
-4.67,1.837627734330e-05,8.056625853635e-07
-4.66,1.925384070478e-05,8.476043205893e-07
-4.65,2.017129507656e-05,8.916474782433e-07
-4.64,2.113035343044e-05,9.378929688251e-07
-4.63,2.213279749514e-05,9.864463225820e-07
-4.62,2.318048029580e-05,1.037417889753e-06
-4.61,2.427532877765e-05,1.090923048955e-06
-4.6,2.541934651620e-05,1.147082424016e-06
-4.59,2.661461651626e-05,1.206022109573e-06
-4.58,2.786330410252e-05,1.267873905759e-06
-4.57,2.916765990392e-05,1.332775562325e-06
-4.56,3.053002293468e-05,1.400871032536e-06
-4.55,3.195282377442e-05,1.472310737216e-06
-4.54,3.343858785018e-05,1.547251839299e-06
-4.53,3.498993882300e-05,1.625858529290e-06
-4.52,3.660960208193e-05,1.708302322025e-06
-4.51,3.830040834826e-05,1.794762365137e-06
-4.5,4.006529739295e-05,1.885425759668e-06
-4.49,4.190732187008e-05,1.980487893256e-06
-4.48,4.382965126946e-05,2.080152786348e-06
-4.47,4.583557599146e-05,2.184633451924e-06
-4.46,4.792851154703e-05,2.294152269191e-06
-4.45,5.011200288625e-05,2.408941371770e-06
